English Name,Botanical Name,Plant Family,Strata,Lifecycle,Time-to-Maturity,Lifespan,Zone,Origin,Function,Spacing,Image Name,Image Prompt
Fig,Ficus carica,Moraceae,Medium,Secondary 2,3-4 years,50-80 years,6-9,Middle East,Food,4-8m,Ficus_carica.jpg,"Botanical illustration of Fig (Ficus carica) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Fig (Ficus carica). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Moraceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 3-4 years, Lifespan: 50-80 years, Zone: 6-9, Origin: Middle East, Function: Food, Spacing: 4-8m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Flemingia,Flemengia macrophylla,Fabaceae,High,Secondary 1,2-3 years,5-10 years,9-11,South Asia,Support,1-2 m,Flemengia_macrophylla.jpg,"Botanical illustration of Flemingia (Flemengia macrophylla) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Flemingia (Flemengia macrophylla). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Secondary 1, Time to Maturity: 2-3 years, Lifespan: 5-10 years, Zone: 9-11, Origin: South Asia, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Fennel,Foeniculum vulgare,Apiaceae,Medium,Placenta 1,3-4 months,Perennial,5-10,Mediterranean,Food,50 cm,Foeniculum_vulgare.jpg,"Botanical illustration of Fennel (Foeniculum vulgare) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Fennel (Foeniculum vulgare). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Apiaceae, Strata: Medium, Lifecycle: Placenta 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 5-10, Origin: Mediterranean, Function: Food, Spacing: 50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Mundu,Garcinia dulcis,Clusiaceae,High,Climax,4-5 years,30-50 years,10-11,Southeast Asia,Food,3-4 m,Garcinia_dulcis.jpg,"Botanical illustration of Mundu (Garcinia dulcis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Mundu (Garcinia dulcis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 4-5 years, Lifespan: 30-50 years, Zone: 10-11, Origin: Southeast Asia, Function: Food, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Achachairu,Garcinia humilis,Clusiaceae,High,Climax,3-4 years,20-30 years,10-12,South America,Food,2-3 m,Garcinia_humilis.jpg,"Botanical illustration of Achachairu (Garcinia humilis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Achachairu (Garcinia humilis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-12, Origin: South America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Kokum,Garcinia indica,Clusiaceae,High,Climax,3-4 years,20-30 years,10-11,South Asia,Food,2-3 m,Garcinia_indica.jpg,"Botanical illustration of Kokum (Garcinia indica) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Kokum (Garcinia indica). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-11, Origin: South Asia, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Lemon Drop Mangosteen,Garcinia intermedia,Clusiaceae,Medium,Climax,4-5 years,20-30 years,10-12,Central America,Food,2-3 m,Garcinia_intermedia.jpg,"Botanical illustration of Lemon Drop Mangosteen (Garcinia intermedia) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Lemon Drop Mangosteen (Garcinia intermedia). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: Medium, Lifecycle: Climax, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Madroño,Garcinia madruno,Clusiaceae,Medium,Climax,4-5 years,20-30 years,10-12,Central America,Food,2-3 m,Garcinia_madruno.jpg,"Botanical illustration of Madroño (Garcinia madruno) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Madroño (Garcinia madruno). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: Medium, Lifecycle: Climax, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Mangosteen,Garcinia mangostana,Clusiaceae,High,Climax,5-7 years,50-100 years,10-12,Southeast Asia,Food,7 -15 m,Garcinia_mangostana.jpg,"Botanical illustration of Mangosteen (Garcinia mangostana) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Mangosteen (Garcinia mangostana). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 5-7 years, Lifespan: 50-100 years, Zone: 10-12, Origin: Southeast Asia, Function: Food, Spacing: 7 -15 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Button Mangosteen,Garcinia prainiana,Clusiaceae,Medium,Climax,4-5 years,20-30 years,10-12,Southeast Asia,Food,2-3 m,Garcinia_prainiana.jpg,"Botanical illustration of Button Mangosteen (Garcinia prainiana) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Button Mangosteen (Garcinia prainiana). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Clusiaceae, Strata: Medium, Lifecycle: Climax, Time to Maturity: 4-5 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Southeast Asia, Function: Food, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Gardenia,Gardenia jasminoides,Rubiaceae,Medium,Secondary 1,3-4 months,Perennial,8-11,East Asia,Support,1-2 m,Gardenia_jasminoides.jpg,"Botanical illustration of Gardenia (Gardenia jasminoides) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Gardenia (Gardenia jasminoides). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Rubiaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 8-11, Origin: East Asia, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Quickstick,Gliricidia sepium,Fabaceae,High,Secondary 2,2-3 years,20-30 years,10-12,Central America,Support,5-10 m,Gliricidia_sepium.jpg,"Botanical illustration of Quickstick (Gliricidia sepium) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Quickstick (Gliricidia sepium). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 2-3 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 5-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Soybean,Glycine max (L.),Fabaceae,High,Placenta 1,3-5 months,Annual,2-11,East Asia,Food,30 cm,Glycine_max_(L.).jpg,"Botanical illustration of Soybean (Glycine max (L.)) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Soybean (Glycine max (L.)). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: High, Lifecycle: Placenta 1, Time to Maturity: 3-5 months, Lifespan: Annual, Zone: 2-11, Origin: East Asia, Function: Food, Spacing: 30 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Cotton,Gossypium spp.,Malvaceae,High,Placenta 1,6-8 months,Annual,5-10,Central America,Support,1-2 m,Gossypium_spp..jpg,"Botanical illustration of Cotton (Gossypium spp.) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Cotton (Gossypium spp.). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: High, Lifecycle: Placenta 1, Time to Maturity: 6-8 months, Lifespan: Annual, Zone: 5-10, Origin: Central America, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
West Indian Elm,Guazuma ulmifolia,Malvaceae,High,Secondary 2,5-7 years,50-80 years,9-12,Central America,Wood,1-5 m,Guazuma_ulmifolia.jpg,"Botanical illustration of West Indian Elm (Guazuma ulmifolia) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: West Indian Elm (Guazuma ulmifolia). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: 50-80 years, Zone: 9-12, Origin: Central America, Function: Wood, Spacing: 1-5 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Okinawa Spinach,Gynura crepioides,Asteraceae,Low,Secondary 1,3-4 months,Perennial,9-11,Southeast Asia,Food,20-30 cm,Gynura_crepioides.jpg,"Botanical illustration of Okinawa Spinach (Gynura crepioides) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Okinawa Spinach (Gynura crepioides). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asteraceae, Strata: Low, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Southeast Asia, Function: Food, Spacing: 20-30 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Firebush,Hamelia patens,Rubiaceae,Medium,Secondary 1,3-4 years,20-30 years,9-11,Central America,Support,2-3 m,Hamelia_patens.jpg,"Botanical illustration of Firebush (Hamelia patens) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Firebush (Hamelia patens). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Rubiaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 9-11, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
White Ginger Lily,Hedychium coronarium,Zingiberaceae,Medium,Secondary 1,3-4 months,Perennial,8-11,Southeast Asia,Support,1-2 m,Hedychium_coronarium.jpg,"Botanical illustration of White Ginger Lily (Hedychium coronarium) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: White Ginger Lily (Hedychium coronarium). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Zingiberaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 8-11, Origin: Southeast Asia, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Lobster Claw,Heliconia latispatha,Heliconiaceae,Medium,Secondary 2,3-4 months,Perennial,10-12,Central America,Support,1-2 m,Heliconia_latispatha.jpg,"Botanical illustration of Lobster Claw (Heliconia latispatha) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Lobster Claw (Heliconia latispatha). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Heliconiaceae, Strata: Medium, Lifecycle: Secondary 2, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Cranberry Hibiscus,Hibiscus acetosella,Malvaceae,High,Placenta 2,3-4 months,Perennial,9-11,Africa,Food,1-2 m,Hibiscus_acetosella.jpg,"Botanical illustration of Cranberry Hibiscus (Hibiscus acetosella) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Cranberry Hibiscus (Hibiscus acetosella). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Africa, Function: Food, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Chinese Hibiscus,Hibiscus rosa-sinensis,Malvaceae,High,Placenta 2,3-4 months,Perennial,9-11,East Asia,Support,1-2 m,Hibiscus_rosa-sinensis.jpg,"Botanical illustration of Chinese Hibiscus (Hibiscus rosa-sinensis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Chinese Hibiscus (Hibiscus rosa-sinensis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: East Asia, Function: Support, Spacing: 1-2 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Roselle,Hibiscus sabdariffa,Malvaceae,High,Placenta 2,6-8 months,Annual,9-11,Africa,Food,50-75 cm,Hibiscus_sabdariffa.jpg,"Botanical illustration of Roselle (Hibiscus sabdariffa) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Roselle (Hibiscus sabdariffa). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: High, Lifecycle: Placenta 2, Time to Maturity: 6-8 months, Lifespan: Annual, Zone: 9-11, Origin: Africa, Function: Food, Spacing: 50-75 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Dragon Fruit,Hylocereus undatus,Cactaceae,High,Climax,1-2 years,5-10 years,10-11,Central America,Food,50-75 cm,Hylocereus_undatus.jpg,"Botanical illustration of Dragon Fruit (Hylocereus undatus) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Dragon Fruit (Hylocereus undatus). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Cactaceae, Strata: High, Lifecycle: Climax, Time to Maturity: 1-2 years, Lifespan: 5-10 years, Zone: 10-11, Origin: Central America, Function: Food, Spacing: 50-75 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Ice Cream Bean,Inga edulis,Fabaceae,Emergent,Secondary 2,3-4 years,20-30 years,10-12,South America,Support,1-5 m,Inga_edulis.jpg,"Botanical illustration of Ice Cream Bean (Inga edulis) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Ice Cream Bean (Inga edulis). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-12, Origin: South America, Function: Support, Spacing: 1-5 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Water Spinach,Ipomoea aquatica,Convolvulaceae,Low,Secondary 1,3-4 months,Perennial,9-11,Southeast Asia,Food,50-100 cm,Ipomoea_aquatica.jpg,"Botanical illustration of Water Spinach (Ipomoea aquatica) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Water Spinach (Ipomoea aquatica). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Convolvulaceae, Strata: Low, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Southeast Asia, Function: Food, Spacing: 50-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Sweet Potato,Ipomoea batatas,Convolvulaceae,Low,Placenta 1,4-6 months,Perennial,9-11,Central America,Food,50 cm,Ipomoea_batatas.jpg,"Botanical illustration of Sweet Potato (Ipomoea batatas) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Sweet Potato (Ipomoea batatas). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Convolvulaceae, Strata: Low, Lifecycle: Placenta 1, Time to Maturity: 4-6 months, Lifespan: Perennial, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 50 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Jacaranda,Jacaranda mimosifolia,Bignoniaceae,Emergent,Secondary 2,5-7 years,50-80 years,9-11,South America,Support,5-10 m,Jacaranda_mimosifolia.jpg,"Botanical illustration of Jacaranda (Jacaranda mimosifolia) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Jacaranda (Jacaranda mimosifolia). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Bignoniaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: 50-80 years, Zone: 9-11, Origin: South America, Function: Support, Spacing: 5-10 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Peregrina,Jatropha integerrima,Euphorbiaceae,Medium,Secondary 1,3-4 years,20-30 years,10-12,Central America,Support,2-3 m,Jatropha_integerrima.jpg,"Botanical illustration of Peregrina (Jatropha integerrima) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Peregrina (Jatropha integerrima). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Euphorbiaceae, Strata: Medium, Lifecycle: Secondary 1, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
